Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25681,1096.00,658.00,7.00,Electronics,Electronic Games,COD
B-26055,5729.00,64.00,14.00,Furniture,Chairs,EMI
B-25955,2927.00,146.00,8.00,Furniture,Bookcases,EMI
B-26093,2847.00,712.00,8.00,Electronics,Printers,Credit Card
B-25602,2617.00,1151.00,4.00,Electronics,Phones,Credit Card
B-25881,2244.00,247.00,4.00,Clothing,Trousers,Credit Card
B-25696,275.00,-275.00,4.00,Clothing,Saree,COD
B-25687,387.00,-213.00,5.00,Clothing,Saree,UPI
B-25643,50.00,-44.00,2.00,Clothing,Hankerchief,UPI
B-25851,135.00,-54.00,5.00,Clothing,Kurti,COD
B-25703,231.00,-190.00,9.00,Clothing,Hankerchief,COD
B-25887,2125.00,-234.00,6.00,Electronics,Printers,EMI
B-25923,3873.00,-891.00,6.00,Electronics,Phones,Credit Card
B-25756,729.00,-492.00,5.00,Furniture,Bookcases,UPI
B-25761,2188.00,1050.00,5.00,Furniture,Bookcases,Credit Card
B-25655,6.00,-3.00,1.00,Clothing,Hankerchief,UPI
B-25786,1854.00,433.00,5.00,Furniture,Bookcases,Credit Card
B-26095,6.00,1.00,1.00,Clothing,Kurti,UPI
B-25853,2093.00,721.00,5.00,Furniture,Chairs,Credit Card
B-25735,7.00,-1.00,2.00,Clothing,Skirt,UPI
B-25910,1622.00,-624.00,5.00,Furniture,Tables,Credit Card
B-25950,1622.00,95.00,5.00,Electronics,Printers,Credit Card
B-25744,373.00,254.00,6.00,Electronics,Printers,UPI
B-25845,82.00,-33.00,4.00,Clothing,Kurti,COD
B-26001,8.00,2.00,2.00,Clothing,Skirt,UPI
B-25830,1954.00,782.00,3.00,Electronics,Phones,Credit Card
B-25842,1543.00,370.00,8.00,Electronics,Printers,Credit Card
B-25778,1506.00,-266.00,6.00,Electronics,Printers,Credit Card
B-25686,1829.00,-56.00,6.00,Furniture,Tables,Credit Card
B-25754,9.00,-1.00,3.00,Clothing,Skirt,UPI
B-26048,1461.00,202.00,5.00,Furniture,Tables,EMI
B-25816,391.00,113.00,8.00,Clothing,Stole,COD
B-26022,1824.00,1303.00,8.00,Electronics,Phones,Credit Card
B-25883,16.00,-15.00,4.00,Clothing,Hankerchief,UPI
B-26003,1745.00,122.00,2.00,Furniture,Tables,Credit Card
B-26097,663.00,-212.00,5.00,Electronics,Printers,UPI
B-25710,10.00,-1.00,1.00,Clothing,Leggings,UPI
B-25797,1630.00,802.00,5.00,Furniture,Tables,EMI
B-25618,12.00,0.00,2.00,Clothing,Hankerchief,UPI
B-25723,12.00,-7.00,2.00,Clothing,Leggings,UPI
B-25755,1709.00,564.00,3.00,Clothing,Trousers,Credit Card
B-25788,12.00,3.00,1.00,Clothing,Stole,UPI
B-25681,1625.00,-77.00,3.00,Electronics,Phones,EMI
B-25991,13.00,5.00,2.00,Clothing,Hankerchief,UPI
B-25779,1361.00,980.00,3.00,Furniture,Tables,COD
B-25909,1622.00,-448.00,3.00,Electronics,Phones,EMI
B-25943,1547.00,340.00,6.00,Electronics,Accessories,EMI
B-25935,1657.00,460.00,4.00,Furniture,Chairs,Credit Card
B-25613,1603.00,0.00,9.00,Clothing,Saree,Credit Card
B-25729,1549.00,-439.00,4.00,Electronics,Phones,Credit Card
B-25772,1183.00,106.00,4.00,Electronics,Printers,EMI
B-25655,74.00,-123.00,8.00,Clothing,Skirt,UPI
B-25640,1499.00,239.00,13.00,Clothing,Saree,Credit Card
B-25810,1120.00,199.00,6.00,Clothing,Saree,EMI
B-25801,15.00,-2.00,1.00,Clothing,T-shirt,Debit Card
B-26085,1487.00,624.00,3.00,Clothing,Trousers,Credit Card
B-25868,1118.00,206.00,2.00,Furniture,Tables,Credit Card
B-25714,11.00,-5.00,2.00,Clothing,Hankerchief,COD
B-25784,15.00,4.00,1.00,Clothing,Hankerchief,Debit Card
B-25608,1364.00,1864.00,5.00,Furniture,Tables,Credit Card
B-26051,1337.00,147.00,7.00,Electronics,Printers,Credit Card
B-25900,15.00,2.00,1.00,Clothing,Leggings,Debit Card
B-25760,322.00,-193.00,5.00,Electronics,Printers,UPI
B-25762,1316.00,527.00,7.00,Electronics,Electronic Games,Credit Card
B-25995,1314.00,342.00,3.00,Furniture,Bookcases,Credit Card
B-25965,17.00,7.00,3.00,Clothing,Hankerchief,Debit Card
B-25967,17.00,2.00,2.00,Clothing,Skirt,Debit Card
B-25674,17.00,-12.00,5.00,Clothing,Skirt,Debit Card
B-25929,1308.00,536.00,3.00,Furniture,Bookcases,Credit Card
B-25777,1076.00,-38.00,4.00,Electronics,Printers,Credit Card
B-26006,1301.00,573.00,5.00,Electronics,Accessories,Credit Card
B-25697,1300.00,-16.00,8.00,Electronics,Printers,Credit Card
B-25667,11.00,-2.00,4.00,Clothing,Hankerchief,COD
B-25836,1298.00,65.00,9.00,Electronics,Printers,EMI
B-25984,304.00,97.00,6.00,Clothing,Stole,UPI
B-25728,1055.00,264.00,4.00,Electronics,Printers,EMI
B-25757,17.00,-13.00,4.00,Clothing,Skirt,Debit Card
B-25957,147.00,73.00,3.00,Clothing,Stole,COD
B-26061,965.00,-68.00,3.00,Electronics,Printers,COD
B-25735,12.00,-2.00,3.00,Clothing,Hankerchief,COD
B-25616,14.00,-2.00,3.00,Clothing,Hankerchief,UPI
B-25666,934.00,-916.00,7.00,Electronics,Electronic Games,COD
B-25675,929.00,-93.00,9.00,Clothing,Saree,COD
B-26079,18.00,3.00,2.00,Clothing,Hankerchief,Debit Card
B-25850,916.00,192.00,11.00,Electronics,Phones,COD
B-25693,76.00,-72.00,9.00,Clothing,Hankerchief,COD
B-25852,869.00,67.00,4.00,Furniture,Tables,COD
B-25860,112.00,24.00,3.00,Clothing,Kurti,COD
B-25853,39.00,16.00,6.00,Clothing,Skirt,UPI
B-25898,857.00,-274.00,2.00,Furniture,Tables,COD
B-26100,828.00,230.00,2.00,Furniture,Chairs,COD
B-25653,1279.00,-640.00,8.00,Electronics,Printers,EMI
B-25839,1250.00,486.00,7.00,Clothing,Saree,EMI
B-25651,823.00,-18.00,7.00,Furniture,Chairs,COD
B-25957,1157.00,-13.00,9.00,Furniture,Bookcases,Credit Card
B-25704,126.00,-63.00,3.00,Electronics,Accessories,UPI
B-25730,1145.00,-706.00,3.00,Electronics,Phones,Credit Card
B-26052,774.00,170.00,3.00,Electronics,Accessories,COD
B-25656,24.00,-1.00,2.00,Clothing,Hankerchief,COD
B-26033,774.00,170.00,3.00,Electronics,Accessories,COD
B-25850,93.00,-1.00,2.00,Clothing,Hankerchief,COD
B-25945,765.00,-36.00,3.00,Electronics,Electronic Games,COD
B-26086,762.00,101.00,6.00,Electronics,Printers,COD
B-25752,761.00,266.00,9.00,Electronics,Electronic Games,COD
B-26098,96.00,-48.00,5.00,Clothing,Leggings,UPI
B-26067,1137.00,-14.00,7.00,Electronics,Printers,EMI
B-25730,18.00,8.00,2.00,Clothing,Hankerchief,Debit Card
B-25986,749.00,-307.00,7.00,Furniture,Furnishings,COD
B-26067,1120.00,199.00,6.00,Clothing,Saree,EMI
B-25953,744.00,119.00,6.00,Electronics,Printers,COD
B-25952,14.00,0.00,4.00,Clothing,Hankerchief,UPI
B-25903,19.00,8.00,2.00,Clothing,Hankerchief,Debit Card
B-25650,512.00,-225.00,5.00,Clothing,Saree,COD
B-25970,742.00,198.00,2.00,Furniture,Bookcases,COD
B-26062,44.00,-40.00,3.00,Clothing,Stole,COD
B-25643,1061.00,-36.00,8.00,Furniture,Bookcases,EMI
B-25632,19.00,-2.00,2.00,Clothing,Leggings,Debit Card
B-25821,17.00,0.00,1.00,Clothing,Hankerchief,COD
B-25878,741.00,267.00,5.00,Furniture,Bookcases,COD
B-25752,735.00,-235.00,6.00,Electronics,Printers,COD
B-25750,19.00,-1.00,1.00,Clothing,Shirt,Debit Card
B-25657,1021.00,-48.00,4.00,Electronics,Electronic Games,EMI
B-25787,556.00,-209.00,7.00,Clothing,Saree,COD
B-25808,63.00,-17.00,6.00,Clothing,Leggings,COD
B-25885,734.00,248.00,2.00,Furniture,Chairs,COD
B-25778,933.00,166.00,5.00,Clothing,Saree,Credit Card
B-25759,20.00,-9.00,6.00,Clothing,Hankerchief,Debit Card
B-25747,877.00,395.00,2.00,Furniture,Bookcases,Credit Card
B-25878,719.00,303.00,6.00,Furniture,Chairs,COD
B-25603,12.00,1.00,2.00,Clothing,Hankerchief,COD
B-25691,714.00,56.00,4.00,Clothing,Saree,COD
B-25607,50.00,-15.00,4.00,Clothing,Leggings,COD
B-25708,709.00,-100.00,5.00,Electronics,Phones,COD
B-26021,21.00,-12.00,3.00,Clothing,Hankerchief,Debit Card
B-25831,693.00,254.00,6.00,Clothing,Saree,COD
B-25850,24.00,1.00,4.00,Clothing,Hankerchief,COD
B-25670,24.00,1.00,2.00,Clothing,Hankerchief,UPI
B-25852,24.00,1.00,2.00,Clothing,Hankerchief,COD
B-26029,21.00,10.00,1.00,Clothing,T-shirt,Debit Card
B-25959,681.00,259.00,4.00,Furniture,Chairs,COD
B-25676,674.00,-187.00,2.00,Furniture,Tables,COD
B-26097,671.00,-309.00,5.00,Electronics,Electronic Games,COD
B-25888,646.00,-213.00,3.00,Electronics,Electronic Games,COD
B-25911,40.00,15.00,1.00,Clothing,Kurti,COD
B-25662,24.00,-2.00,2.00,Clothing,T-shirt,COD
B-25950,644.00,167.00,2.00,Electronics,Printers,COD
B-25847,643.00,225.00,2.00,Electronics,Printers,COD
B-25796,632.00,-316.00,6.00,Clothing,Saree,COD
B-25693,632.00,316.00,6.00,Clothing,Saree,COD
B-25993,610.00,208.00,3.00,Electronics,Printers,COD
B-26052,78.00,-28.00,6.00,Clothing,Kurti,UPI
B-25930,595.00,119.00,4.00,Furniture,Bookcases,COD
B-25785,595.00,292.00,3.00,Clothing,Saree,COD
B-26093,852.00,51.00,5.00,Furniture,Bookcases,Credit Card
B-26053,594.00,89.00,3.00,Furniture,Bookcases,COD
B-26019,585.00,175.00,13.00,Clothing,T-shirt,COD
B-26070,582.00,262.00,5.00,Furniture,Furnishings,COD
B-25870,845.00,84.00,7.00,Clothing,Saree,Credit Card
B-25855,829.00,19.00,4.00,Electronics,Printers,Credit Card
B-25602,561.00,212.00,3.00,Clothing,Saree,COD
B-25728,771.00,-424.00,2.00,Electronics,Phones,Credit Card
B-25803,765.00,8.00,6.00,Clothing,Saree,EMI
B-25996,31.00,2.00,2.00,Clothing,Hankerchief,COD
B-26078,557.00,-111.00,2.00,Electronics,Electronic Games,COD
B-25803,757.00,371.00,2.00,Electronics,Printers,Credit Card
B-25682,545.00,-73.00,11.00,Electronics,Phones,COD
B-25749,1052.00,-82.00,3.00,Furniture,Bookcases,UPI
B-25962,544.00,-152.00,3.00,Furniture,Bookcases,COD
B-25899,22.00,9.00,2.00,Clothing,Leggings,Debit Card
B-25845,757.00,371.00,2.00,Electronics,Printers,Credit Card
B-25951,742.00,198.00,2.00,Furniture,Bookcases,Credit Card
B-25828,537.00,107.00,3.00,Clothing,Saree,COD
B-25803,536.00,91.00,1.00,Clothing,Trousers,COD
B-25656,6.00,3.00,1.00,Clothing,Hankerchief,COD
B-25681,523.00,204.00,7.00,Clothing,Trousers,COD
B-25658,27.00,9.00,2.00,Clothing,T-shirt,UPI
B-25698,516.00,392.00,8.00,Furniture,Chairs,COD
B-25832,504.00,116.00,3.00,Furniture,Bookcases,COD
B-25886,502.00,84.00,4.00,Electronics,Phones,COD
B-25897,734.00,213.00,6.00,Electronics,Electronic Games,Credit Card
B-25873,42.00,12.00,2.00,Clothing,Kurti,COD
B-25858,29.00,11.00,4.00,Clothing,Skirt,COD
B-25867,240.00,12.00,6.00,Clothing,Kurti,UPI
B-25633,496.00,-79.00,2.00,Clothing,Trousers,COD
B-25609,485.00,29.00,4.00,Electronics,Electronic Games,COD
B-25896,31.00,-11.00,3.00,Clothing,Skirt,UPI
B-26000,676.00,151.00,3.00,Electronics,Printers,Credit Card
B-25959,23.00,8.00,2.00,Clothing,Hankerchief,Debit Card
B-25940,13.00,3.00,2.00,Clothing,Hankerchief,COD
B-26087,180.00,0.00,8.00,Clothing,Stole,COD
B-26055,671.00,114.00,9.00,Electronics,Phones,Credit Card
B-25980,22.00,11.00,3.00,Clothing,Kurti,COD
B-25653,668.00,-31.00,3.00,Electronics,Printers,Credit Card
B-26052,145.00,0.00,3.00,Clothing,Saree,UPI
B-25877,24.00,8.00,2.00,Clothing,Skirt,Debit Card
B-25608,476.00,0.00,3.00,Furniture,Chairs,COD
B-25897,24.00,11.00,5.00,Clothing,Hankerchief,Debit Card
B-25881,37.00,3.00,3.00,Clothing,Hankerchief,COD
B-25905,152.00,50.00,6.00,Clothing,Stole,UPI
B-25818,32.00,11.00,2.00,Clothing,Leggings,UPI
B-25835,52.00,11.00,5.00,Clothing,Leggings,COD
B-26081,24.00,11.00,3.00,Clothing,Hankerchief,Debit Card
B-25730,473.00,42.00,4.00,Furniture,Chairs,COD
B-25837,263.00,50.00,5.00,Clothing,Stole,COD
B-25893,61.00,11.00,3.00,Clothing,Kurti,COD
B-25689,469.00,-459.00,3.00,Electronics,Electronic Games,COD
B-26028,1272.00,547.00,2.00,Electronics,Phones,COD
B-26081,169.00,0.00,3.00,Electronics,Accessories,COD
B-25903,25.00,11.00,3.00,Clothing,Leggings,Debit Card
B-25651,457.00,-41.00,4.00,Clothing,Saree,COD
B-25903,455.00,77.00,8.00,Electronics,Accessories,COD
B-26086,25.00,2.00,2.00,Clothing,Hankerchief,Debit Card
B-25654,450.00,-90.00,3.00,Electronics,Printers,COD
B-25720,30.00,-35.00,1.00,Furniture,Chairs,COD
B-26057,659.00,-37.00,2.00,Furniture,Bookcases,Credit Card
B-25798,448.00,148.00,2.00,Electronics,Printers,COD
B-25961,446.00,53.00,3.00,Electronics,Printers,COD
B-25701,98.00,-45.00,2.00,Furniture,Chairs,UPI
B-26055,443.00,11.00,1.00,Clothing,Saree,COD
B-25653,427.00,-50.00,7.00,Electronics,Phones,COD
B-25670,656.00,-36.00,2.00,Furniture,Bookcases,Credit Card
B-26056,424.00,161.00,2.00,Clothing,Saree,COD
B-26061,27.00,8.00,2.00,Clothing,T-shirt,Debit Card
B-25602,424.00,-272.00,5.00,Electronics,Phones,COD
B-26016,202.00,4.00,4.00,Clothing,Hankerchief,COD
B-25873,1275.00,357.00,2.00,Electronics,Phones,UPI
B-25761,418.00,70.00,7.00,Electronics,Phones,COD
B-25819,417.00,49.00,3.00,Electronics,Electronic Games,COD
B-25853,199.00,48.00,4.00,Clothing,Stole,UPI
B-25662,385.00,-77.00,11.00,Furniture,Furnishings,UPI
B-25993,414.00,199.00,3.00,Electronics,Phones,COD
B-25703,97.00,-45.00,4.00,Clothing,Saree,COD
B-25848,648.00,50.00,6.00,Electronics,Electronic Games,Credit Card
B-25678,27.00,-25.00,2.00,Clothing,Shirt,Debit Card
B-25925,27.00,12.00,1.00,Clothing,Stole,Debit Card
B-25977,27.00,1.00,1.00,Clothing,Stole,UPI
B-25797,413.00,-314.00,9.00,Furniture,Chairs,COD
B-26067,53.00,2.00,4.00,Clothing,Hankerchief,COD
B-25810,29.00,8.00,5.00,Clothing,Hankerchief,UPI
B-25648,30.00,13.00,1.00,Clothing,T-shirt,UPI
B-25933,412.00,412.00,6.00,Clothing,Saree,COD
B-25942,646.00,-23.00,2.00,Electronics,Printers,Credit Card
B-25656,30.00,-5.00,5.00,Clothing,Stole,UPI
B-26067,618.00,27.00,4.00,Furniture,Bookcases,Credit Card
B-25673,143.00,-124.00,5.00,Clothing,Saree,UPI
B-25797,31.00,1.00,2.00,Clothing,Hankerchief,UPI
B-26098,409.00,86.00,3.00,Clothing,Saree,COD
B-25656,406.00,126.00,2.00,Clothing,Saree,COD
B-25791,565.00,66.00,7.00,Clothing,Saree,Credit Card
B-26053,85.00,2.00,6.00,Clothing,Stole,COD
B-25983,561.00,118.00,5.00,Furniture,Bookcases,Credit Card
B-25743,503.00,-56.00,2.00,Clothing,Trousers,COD
B-25867,31.00,14.00,3.00,Clothing,Stole,UPI
B-25973,398.00,111.00,8.00,Clothing,Hankerchief,COD
B-25895,388.00,93.00,2.00,Furniture,Bookcases,COD
B-26003,498.00,-116.00,4.00,Clothing,Saree,UPI
B-25717,561.00,212.00,3.00,Clothing,Saree,Credit Card
B-26064,61.00,3.00,4.00,Clothing,Hankerchief,COD
B-25630,34.00,-22.00,4.00,Clothing,T-shirt,COD
B-26050,32.00,6.00,3.00,Clothing,Shirt,UPI
B-25786,623.00,-192.00,3.00,Furniture,Tables,UPI
B-26035,520.00,151.00,3.00,Electronics,Phones,Credit Card
B-25693,32.00,-16.00,6.00,Clothing,Saree,UPI
B-25703,32.00,-5.00,5.00,Clothing,Hankerchief,UPI
B-25966,510.00,234.00,6.00,Electronics,Electronic Games,EMI
B-26060,382.00,68.00,3.00,Clothing,Saree,COD
B-25898,33.00,13.00,3.00,Clothing,Leggings,UPI
B-25686,381.00,-13.00,2.00,Clothing,Saree,COD
B-26051,490.00,88.00,2.00,Electronics,Accessories,EMI
B-25854,381.00,144.00,2.00,Clothing,Saree,COD
B-26050,487.00,143.00,4.00,Electronics,Phones,EMI
B-25961,366.00,84.00,3.00,Furniture,Bookcases,COD
B-25701,33.00,-29.00,3.00,Clothing,Shirt,UPI
B-25970,365.00,107.00,3.00,Electronics,Phones,COD
B-25933,207.00,-100.00,2.00,Clothing,Saree,UPI
B-26081,359.00,-338.00,5.00,Furniture,Bookcases,COD
B-25650,351.00,-47.00,8.00,Electronics,Phones,COD
B-25850,485.00,199.00,4.00,Clothing,Saree,EMI
B-25643,37.00,-23.00,4.00,Clothing,Shirt,UPI
B-26100,34.00,10.00,2.00,Clothing,T-shirt,Debit Card
B-25964,346.00,108.00,3.00,Furniture,Chairs,COD
B-25676,342.00,-103.00,4.00,Electronics,Electronic Games,COD
B-25628,35.00,-8.00,2.00,Furniture,Furnishings,Debit Card
B-25891,121.00,41.00,4.00,Clothing,Stole,UPI
B-25903,336.00,57.00,2.00,Electronics,Phones,COD
B-25851,336.00,71.00,3.00,Furniture,Bookcases,COD
B-26089,27.00,4.00,1.00,Clothing,Hankerchief,COD
B-25996,333.00,50.00,2.00,Electronics,Phones,COD
B-25881,36.00,7.00,3.00,Clothing,Leggings,Debit Card
B-25621,333.00,-15.00,3.00,Electronics,Phones,COD
B-25727,327.00,114.00,4.00,Clothing,Trousers,COD
B-25843,18.00,6.00,3.00,Clothing,Hankerchief,UPI
B-26050,325.00,32.00,7.00,Clothing,T-shirt,COD
B-25741,482.00,-6.00,7.00,Electronics,Electronic Games,EMI
B-25756,465.00,-33.00,4.00,Electronics,Phones,EMI
B-25787,40.00,-12.00,3.00,Clothing,Shirt,COD
B-25603,107.00,36.00,6.00,Clothing,Stole,COD
B-25655,312.00,-312.00,7.00,Furniture,Chairs,COD
B-26096,451.00,25.00,3.00,Electronics,Phones,EMI
B-25962,312.00,62.00,1.00,Electronics,Electronic Games,COD
B-26007,311.00,72.00,2.00,Furniture,Bookcases,COD
B-26088,11.00,5.00,2.00,Clothing,Hankerchief,UPI
B-25673,37.00,-5.00,3.00,Clothing,T-shirt,Debit Card
B-25664,444.00,-200.00,4.00,Electronics,Phones,EMI
B-25642,434.00,26.00,11.00,Clothing,Shirt,Credit Card
B-25987,299.00,0.00,6.00,Clothing,Stole,COD
B-25903,37.00,17.00,3.00,Clothing,Hankerchief,Debit Card
B-25770,299.00,113.00,2.00,Furniture,Bookcases,COD
B-25840,298.00,74.00,2.00,Furniture,Bookcases,COD
B-25846,94.00,7.00,7.00,Clothing,Leggings,UPI
B-25745,296.00,225.00,11.00,Clothing,Saree,COD
B-26073,37.00,17.00,3.00,Clothing,Hankerchief,Debit Card
B-26030,291.00,93.00,2.00,Electronics,Printers,COD
B-25678,327.00,-39.00,1.00,Electronics,Phones,COD
B-26035,291.00,119.00,11.00,Clothing,Saree,COD
B-25896,287.00,-66.00,6.00,Clothing,Kurti,COD
B-25989,42.00,15.00,1.00,Electronics,Accessories,UPI
B-26016,429.00,61.00,3.00,Electronics,Electronic Games,Credit Card
B-26009,285.00,128.00,2.00,Electronics,Printers,COD
B-25915,277.00,3.00,1.00,Electronics,Electronic Games,COD
B-25845,274.00,-7.00,4.00,Electronics,Phones,COD
B-25645,273.00,-87.00,4.00,Electronics,Phones,COD
B-25803,269.00,91.00,1.00,Electronics,Electronic Games,COD
B-26030,11.00,5.00,1.00,Clothing,Skirt,COD
B-25955,39.00,2.00,2.00,Clothing,Saree,Debit Card
B-26096,264.00,-26.00,3.00,Clothing,Trousers,COD
B-25635,40.00,16.00,3.00,Clothing,Hankerchief,Debit Card
B-26038,41.00,19.00,2.00,Clothing,T-shirt,Debit Card
B-25791,253.00,-63.00,2.00,Clothing,Saree,UPI
B-26014,406.00,97.00,7.00,Furniture,Chairs,Credit Card
B-25751,32.00,7.00,3.00,Clothing,Hankerchief,COD
B-25962,260.00,68.00,2.00,Electronics,Printers,COD
B-26025,41.00,19.00,5.00,Clothing,Hankerchief,Debit Card
B-26048,401.00,13.00,6.00,Furniture,Chairs,Credit Card
B-25635,382.00,30.00,3.00,Clothing,Saree,Credit Card
B-25981,867.00,251.00,5.00,Electronics,Phones,COD
B-25610,43.00,0.00,3.00,Clothing,Saree,Debit Card
B-25733,43.00,-43.00,7.00,Clothing,Stole,Debit Card
B-25977,74.00,29.00,3.00,Clothing,Stole,COD
B-25655,44.00,-26.00,3.00,Clothing,Hankerchief,Debit Card
B-25612,259.00,-55.00,2.00,Furniture,Chairs,COD
B-25608,257.00,23.00,5.00,Clothing,Hankerchief,COD
B-25752,76.00,27.00,5.00,Clothing,Stole,COD
B-25700,44.00,-32.00,3.00,Clothing,Stole,Debit Card
B-25856,257.00,3.00,2.00,Clothing,Saree,COD
B-26026,255.00,76.00,9.00,Clothing,Hankerchief,COD
B-25861,44.00,14.00,3.00,Clothing,Hankerchief,Debit Card
B-25673,45.00,-2.00,4.00,Clothing,Shirt,COD
B-25681,44.00,-3.00,1.00,Clothing,Saree,Debit Card
B-26051,382.00,119.00,2.00,Clothing,Saree,Credit Card
B-25951,250.00,100.00,3.00,Clothing,Trousers,COD
B-25799,45.00,-15.00,2.00,Furniture,Chairs,COD
B-26053,246.00,61.00,2.00,Furniture,Bookcases,COD
B-26030,50.00,25.00,5.00,Clothing,Stole,COD
B-26054,246.00,98.00,5.00,Clothing,Hankerchief,COD
B-25696,44.00,99.00,3.00,Clothing,Kurti,Debit Card
B-25660,245.00,-78.00,3.00,Clothing,Saree,COD
B-25858,245.00,30.00,2.00,Clothing,Saree,COD
B-26045,376.00,0.00,7.00,Clothing,Stole,Credit Card
B-25850,45.00,1.00,3.00,Clothing,T-shirt,Debit Card
B-25781,45.00,-28.00,2.00,Clothing,Stole,Debit Card
B-25918,244.00,-122.00,5.00,Furniture,Furnishings,COD
B-25971,244.00,83.00,2.00,Furniture,Bookcases,COD
B-25870,10.00,4.00,1.00,Clothing,Kurti,UPI
B-25770,375.00,180.00,3.00,Furniture,Bookcases,Credit Card
